Name,Count,Percentual
x_id,45,100
amenity,45,100
building,14,31.1111111111111
name,36,80
type,4,8.88888888888889
addr_city,12,26.6666666666667
addr_housenumber,5,11.1111111111111
addr_postcode,7,15.5555555555556
addr_street,5,11.1111111111111
contact_fax,2,4.44444444444444
contact_phone,3,6.66666666666667
email,1,2.22222222222222
emergency,20,44.4444444444444
operator,3,6.66666666666667
website,2,4.44444444444444
wikidata,4,8.88888888888889
wheelchair,4,8.88888888888889
importance,2,4.44444444444444
healthcare,18,40
source,1,2.22222222222222
addr_country,2,4.44444444444444
description,1,2.22222222222222
phone,1,2.22222222222222
highway,1,2.22222222222222
designation,1,2.22222222222222
addr_province,1,2.22222222222222
addr_state,1,2.22222222222222
indoor,1,2.22222222222222
disabled,1,2.22222222222222
survey_date,1,2.22222222222222
