latitude,longitude,altitude,geometry,@id,highway,public_transport,name,shelter,bus,bench,alt_name:lld,name:it,name:lld,departures_board,operator,old_name,route_ref,bus_routes,created_by,wheelchair,note,tactile_paving,covered,source,ref,name:de,addr:city,addr:postcode,addr:street,alt_name,shelter_type,amenity,bin,network,toilets:wheelchair,designation,local_ref,mapillary,pole,survey:date,official_name,website,description,fixme,lit,passenger_information_display,surface,building
46.1120096,11.3069486,,Point,node/157385656,bus_stop,stop_position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1207503,11.3161358,,Point,node/157385732,bus_stop,stop_position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1636558,11.2415085,,Point,node/246694428,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1459379,11.1909231,,Point,node/246695033,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0671184,11.1394574,,Point,node/248009842,bus_stop,,"Mesiano / ""Fac. Ingegneria""",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0692888,11.1364461,,Point,node/248049459,bus_stop,,"Valsugana / ""Corallo""",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0672292,11.1396044,,Point,node/248049727,bus_stop,,"Mesiano / ""Fac. Ingegneria""",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0716005,11.1383169,,Point,node/248050135,bus_stop,platform,San Donà,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0694972,11.1402386,,Point,node/248050308,bus_stop,platform,"""Ponte Lodovico""",no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0693453,11.1389288,,Point,node/248050494,bus_stop,platform,"""Ponte Lodovico""",no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1936663,11.1324976,,Point,node/248803393,bus_stop,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0698619,11.1283012,,Point,node/248949925,bus_stop,,"Venezia / ""Port'Aquila""",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2741929,11.4167129,,Point,node/248950418,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2724445,11.423875,,Point,node/261086627,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.9473703,10.6213556,,Point,node/268256654,bus_stop,stop_position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.8832631,11.0862998,,Point,node/269026743,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
