WKT;civico_alf;strada;destra;sobborgo;scuola;fumetto;iscritti;personale;mail;telefono;iscritti_bes
"POINT (662506.087347352877259 5105232.15873471647501)";3;3390;LOC. LA VELA;TRENTO;SCUOLA PRIMARIA S. VIGILIO - VELA;SCUOLA PRIMARIA S. VIGILIO - VELA;71;12;ic.trento6@pec.provincia.tn.it;"0461/236214
";2
"POINT (666021.810828560730442 5101702.842735786922276)";7;7140;P.ZZA MONS. G.P. NICOLINI-VILLAZZANO;TRENTO-VILLAZZANO;SCUOLA PRIMARIA G.A. TOMASI - VILLAZZANO;SCUOLA PRIMARIA G.A. TOMASI - VILLAZZANO;212;32;ic.trento1@pec.provincia.tn.it;"0461/912740
";3
"POINT (664809.223762689507566 5096914.436085216701031)";11;7730;VIA G. POLI-MATTARELLO;TRENTO-MATTARELLO;SCUOLA PRIMARIA MATTARELLO;SCUOLA PRIMARIA MATTARELLO;316;95;ic.aldeno-mattarello@pec.provincia.tn.it;"0461/945237
";7
"POINT (662960.967634097323753 5098348.811300278641284)";6;8945;VIA AI COMUNI-ROMAGNANO;TRENTO-ROMAGNANO;SCUOLA PRIMARIA ROMAGNANO;SCUOLA PRIMARIA ROMAGNANO;75;23;ic.aldeno-mattarello@pec.provincia.tn.it;"0461/349119
";3
"POINT (666618.484517036005855 5103473.310998312197626)";6;7355;VIA DEI RIVI-POVO;TRENTO-POVO;SCUOLA PRIMARIA U. MOGGIOLI - POVO;SCUOLA PRIMARIA U. MOGGIOLI - POVO;298;46;ic.trento1@pec.provincia.tn.it;"0461/912740
";8
"POINT (665894.471654383465648 5104303.71066043432802)";27;6070;VIA ALLE CAMPANELLE-COGNOLA;TRENTO-COGNOLA;SCUOLA PRIMARIA CASA SERENA - COGNOLA;SCUOLA PRIMARIA CASA SERENA - COGNOLA;3;1;ic.comenius@pec.provincia.tn.it;"0461/982113
";2
"POINT (665468.105992944911122 5104505.710459194146097)";169;6360;VIA S. VITO-COGNOLA;TRENTO-COGNOLA;SCUOLA PRIMARIA R. BELENZANI - S. VITO;SCUOLA PRIMARIA R. BELENZANI - S. VITO;112;19;ic.comenius@pec.provincia.tn.it;"0461/982113
";5
"POINT (664721.61621752823703 5102465.106401989236474)";2;1160;VIA A. FOGAZZARO;TRENTO;SCUOLA PRIMARIA A. NICOLODI - TRENTO;SCUOLA PRIMARIA A. NICOLODI - TRENTO;250;42;ic.trento3@pec.provincia.tn.it;"0461/934977
";5
"POINT (664519.719682412454858 5102032.248098043724895)";13;1050;VIA L. EINAUDI;TRENTO;SCUOLA PRIMARIA CLARINA -TRENTO;SCUOLA PRIMARIA CLARINA -TRENTO;263;48;ic.trento4@pec.provincia.tn.it;"0461/920316
";20
"POINT (664063.127281724009663 5102169.907696958631277)";103;2880;VIA S. PIO X;TRENTO;SCUOLA PRIMARIA D. SAVIO - TRENTO;SCUOLA PRIMARIA D. SAVIO - TRENTO;111;18;ic.trento3@pec.provincia.tn.it;"0461/934977
";12
"POINT (665124.202265890082344 5100675.402029541321099)";91;1870;PIAZZALE EUROPA;TRENTO;SCUOLA PRIMARIA MADONNA BIANCA - TRENTO;SCUOLA PRIMARIA MADONNA BIANCA - TRENTO;234;42;ic.trento4@pec.provincia.tn.it;"0461/920316
";19
"POINT (663135.036881539737806 5100425.584303881973028)";5;8780;VIA DELLE MASERE-RAVINA;TRENTO-RAVINA;SCUOLA PRIMARIA RAVINA;SCUOLA PRIMARIA RAVINA;130;22;ic.trento3@pec.provincia.tn.it;"0461/934977
";7
"POINT (664354.512064762180671 5104267.345354596152902)";13;3030;PIAZZA R. SANZIO;TRENTO;SCUOLA PRIMARIA R. SANZIO - TRENTO;SCUOLA PRIMARIA R. SANZIO - TRENTO;371;63;ic.tn5@pec.provincia.tn.it;"0461/263331
";6
"POINT (663958.3172629380133 5104822.388052712194622)";3;3190;VIA A. STOPPANI;TRENTO;SCUOLA PRIMARIA S. BELLESINI - TRENTO;SCUOLA PRIMARIA S. BELLESINI - TRENTO;94;16;ic.trento6@pec.provincia.tn.it;"0461/236214
";3
"POINT (663980.1394871751545 5103492.313239812850952)";4;390;VIA G.B. BORSIERI;TRENTO;SCUOLA PRIMARIA PARITARIA MARIA SS. BAMBINA - TRENTO;SCUOLA PRIMARIA PARITARIA MARIA SS. BAMBINA - TRENTO;73;;direzione@scuolamariabambinatn.it;0461/230489;
"POINT (664610.580865304451436 5104071.548203449696302)";5;2690;VIA DELLA SALUGA;TRENTO;SCUOLA PRIMARIA PARITARIA SACRA FAMIGLIA - TRENTO;SCUOLA PRIMARIA PARITARIA SACRA FAMIGLIA - TRENTO;128;;sacrafamigliatrento@pssf.it;0461/980093;
"POINT (663916.873674689792097 5106034.984549992717803)";22;3150;VIA DEI SOLTERI;TRENTO;SCUOLA PRIMARIA A. GORFER - SOLTERI;SCUOLA PRIMARIA A. GORFER - SOLTERI;212;36;ic.tn5@pec.provincia.tn.it;"0461/263331
";13
"POINT (663680.760888494784012 5105365.58948911447078)";79;1480;VIA LAVISOTTO;TRENTO;SCUOLA PRIMARIA A. SCHMID - CRISTO RE;SCUOLA PRIMARIA A. SCHMID - CRISTO RE;310;54;ic.trento6@pec.provincia.tn.it;"0461/236214
";21
"POINT (662176.7094250919763 5103306.397741857916117)";1;8631;VIA DELLA TORESELA-SARDAGNA;TRENTO-SARDAGNA;SCUOLA PRIMARIA A. DEGASPERI - SARDAGNA;SCUOLA PRIMARIA A. DEGASPERI - SARDAGNA;38;7;ic.trento6@pec.provincia.tn.it;"0461/236214
";
"POINT (663020.419311784906313 5111199.861121302470565)";;;;LAVIS;SCUOLA PRIMARIA G. GRAZIOLI -  LAVIS;SCUOLA PRIMARIA G. GRAZIOLI -  LAVIS;;;;;
"POINT (663424.291359674884006 5110080.39640384260565)";40;8470;VIA DELLE TRE CROCI-MEANO;TRENTO-MEANO;SCUOLA PRIMARIA E. DE CARLI - MEANO;SCUOLA PRIMARIA E. DE CARLI - MEANO;171;31;ic.trento7@pec.provincia.tn.it;"0461/990287
";2
"POINT (664974.318171609891579 5111136.800855848006904)";21;8492;VIA ALLE OSELERE-VIGO MEANO;TRENTO-MEANO-VIGO MEANO;SCUOLA PRIMARIA I. CALVINO - VIGO MEANO;SCUOLA PRIMARIA I. CALVINO - VIGO MEANO;103;18;ic.trento7@pec.provincia.tn.it;"0461/990287
";4
"POINT (659696.689123639138415 5106059.8403693260625)";7;8122;VIA DI COLTURA-CADINE;TRENTO-CADINE;SCUOLA PRIMARIA G.A. SLOP VON CADENBERG - CADINE;SCUOLA PRIMARIA G.A. SLOP VON CADENBERG - CADINE;104;18;ic.trento6@pec.provincia.tn.it;"0461/236214
";2
"POINT (663159.6933731099125 5107900.195677074603736)";42/1;5290;VIA IV NOVEMBRE-GARDOLO;TRENTO-GARDOLO;SCUOLA PRIMARIA F.LLI PIGARELLI - GARDOLO;SCUOLA PRIMARIA F.LLI PIGARELLI - GARDOLO;371;67;ic.trento7@pec.provincia.tn.it;"0461/990287
";17
"POINT (663098.38852840824984 5108403.401841902174056)";5/B;5101;VIA SANT'ANNA-GARDOLO;TRENTO-GARDOLO;SCUOLA PRIMARIA S. ANNA - GARDOLO;SCUOLA PRIMARIA S. ANNA - GARDOLO;187;34;ic.trento7@pec.provincia.tn.it;"0461/990287
";7
"POINT (663939.482628068770282 5103750.097081593237817)";4;3710;PIAZZA SANTA T. VERZERI;TRENTO;SCUOLA PRIMARIA SACRO CUORE;SCUOLA PRIMARIA SACRO CUORE;222;;istitutocomprensivo@istitutosacrocuore.it;0461/981465;1
"POINT (665482.576136992312968 5100794.556123266927898)";86;845;VIA E. CONCI;TRENTO;ASSOCIAZIONE PEDAGOGICA STEINERIANA;ASSOCIAZIONE PEDAGOGICA STEINERIANA;104;;segreteria@scuolastainer-trento.it;0461/930658;8
"POINT (664098.88988047989551 5103062.81895399466157)";23;1060;VIA C. ENDRICI;TRENTO;SCUOLA PRIMARIA ARCIVESCOVILE;SCUOLA PRIMARIA ARCIVESCOVILE;176;;erikapedri@arcivescoviletrento.it;0461/1731200;8
"POINT (663007.733371042530052 5111238.711814826354384)";;;;LAVIS;SCUOLA PRIMARIA C. CLEMENTI - LAVIS;SCUOLA PRIMARIA C. CLEMENTI - LAVIS;;;;;
"POINT (659327.886008622357622 5104284.125978286378086)";1;8072;VIA CAINELLI;TRENTO-SOPRAMONTE;SCUOLA PRIMARIA S. PERTINI - SOPRAMONTE;SCUOLA PRIMARIA S. PERTINI - SOPRAMONTE;181;32;ic.trento6@pec.provincia.tn.it;"0461/236214
";8
"POINT (664789.008303795941174 5106281.963679144158959)";1;6250;PIAZZA G. MENGHIN-MARTIGNANO;TRENTO-MARTIGNANO;SCUOLA PRIMARIA R. ZANDONAI - MARTIGNANO;SCUOLA PRIMARIA R. ZANDONAI - MARTIGNANO;201;34;ic.comenius@pec.provincia.tn.it;"0461/982113
";8
"POINT (665740.238446907722391 5104636.56679433118552)";2/1;6310;VIA PONTE ALTO-COGNOLA;TRENTO-COGNOLA;SCUOLA PRIMARIA E. BERNARDI - COGNOLA;SCUOLA PRIMARIA E. BERNARDI - COGNOLA;310;53;ic.comenius@pec.provincia.tn.it;"0461/982113
";5
"POINT (663945.6294465593528 5102419.083171749487519)";4;3530;VIA R. ZANDONAI;TRENTO;SCUOLA PRIMARIA G.B. DE GASPARI - TRENTO;SCUOLA PRIMARIA G.B. DE GASPARI - TRENTO;167;28;ic.trento3@pec.provincia.tn.it;"0461/934977
";7
"POINT (664387.997261841199361 5103428.430595236830413)";8;2780;VIA SAN GIOVANNI BOSCO ;TRENTO;SCUOLA PRIMARIA F. CRISPI - TRENTO ;SCUOLA PRIMARIA F. CRISPI - TRENTO ;245;42;ic.tn5@pec.provincia.tn.it;"0461/263331
";12
