WKT;civico_alf;strada;destra;sobborgo;equip;scuola;fumetto;iscritti;personale;mail;telefono
"POINT (666049.070334777701646 5101599.258896704763174)";1;7260;SALITA DEI MOLINI;VILLAZZANO;E;SCUOLA INFANZIA  VILLAZZANO - SEZ. DISTACCATA;SCUOLA MATENA  VILLAZZANO - SEZ. DISTACCATA;;;;
"POINT (664028.848581280792132 5100574.293733343482018)";11;8800;VIA DEL PONTE;RAVINA;P;CAMPO NOMADI RAVINA;CAMPO NOMADI RAVINA;;;;
"POINT (663007.733371042530052 5111238.711814826354384)";;;;;P;SCUOLA INFANZIA MADDALENA DI CANOSSA - LAVIS;SCUOLA INFANZIA MADDALENA DI CANOSSA - LAVIS;;;;
"POINT (664951.971799045335501 5102420.752902843989432)";84;1370;VIA GOCCIADORO;TRENTO;P;SCUOLA INFANZIA CROSINA SARTORI;SCUOLA MATERNA CROSINA SARTORI;76;10;;"0461/925679
"
"POINT (664829.232163161737844 5103429.735654407180846)";6;1340;VIA B. GIOVANELLI;TRENTO;P;SCUOLA INFANZIA GIANNI RODARI;SCUOLA MATERNA GIANNI RODARI;56;8;"scuolainfanzia.rodari@scuole.provincia.tn.it
";"0461/986198
"
"POINT (665551.823321992880665 5100855.776351200416684)";10;845;VIA E. CONCI;TRENTO;P;SCUOLA INFANZIA VILLAZZANO TRE - L'OFFICINA DEGLI GNOMI;SCUOLA MATERNA VILLAZZANO TRE - L'OFFICINA DEGLI GNOMI;38;8;;"0461/920367
"
"POINT (663074.365234276978299 5100499.802784261293709)";8;8720;VIA PER BELVEDERE;RAVINA;P;SCUOLA INFANZIA RAVINA - GIROTONDO;SCUOLA MATERNA RAVINA - GIROTONDO;103;15;"scuolainfanzia.ravina@scuole.provincia.tn.it
";"0461/922216
"
"POINT (664146.340699687367305 5103487.241628219373524)";10;3320;VIA AL TORRIONE;TRENTO;P;SCUOLA INFANZIA TORRIONE;SCUOLA MATERNA TORRIONE;112;17;"scuolainfanzia.torrione@scuole.provincia.tn.it
";"0461/232554
"
"POINT (662975.222034562844783 5098022.848361210897565)";2;8915;VIA DELLE PREDE;ROMAGNANO;P;SCUOLA INFANZIA ROMAGNANO - GLI GNOMI DEL BOSCO;SCUOLA MATERNA ROMAGNANO - GLI GNOMI DEL BOSCO;50;7;"scuolainfanzia.romagnano@scuole.provincia.tn.it
";"0461/349153
"
"POINT (663501.012118253856897 5104166.233063776046038)";86;1010;VIA DOS TRENTO;TRENTO;P;SCUOLA INFANZIA PIEDICASTELLO;SCUOLA MATERNA PIEDICASTELLO;51;8;;"0461/983539
"
"POINT (663801.745384570560418 5102766.755933527834713)";56;1350;VIA G. GIUSTI;TRENTO;P;SCUOLA INFANZIA SAN GIUSEPPE - MASO GINOCCHIO;SCUOLA MATERNA SAN GIUSEPPE - MASO GINOCCHIO;133;20;"scuolainfanzia.sangiuseppe@scuole.provincia.tn.it
";"0461/930042
"
