Name,Count,Percentual
x_id,219,100
climbing_rock,37,16.8949771689498
name,167,76.2557077625571
natural,53,24.2009132420091
sport,219,100
type,2,0.91324200913242
building,5,2.28310502283105
leisure,16,7.30593607305936
addr_city,3,1.36986301369863
addr_country,1,0.45662100456621
addr_housenumber,3,1.36986301369863
addr_postcode,3,1.36986301369863
addr_street,4,1.82648401826484
landuse,1,0.45662100456621
club,1,0.45662100456621
email,2,0.91324200913242
fax,1,0.45662100456621
opening_hours,2,0.91324200913242
phone,1,0.45662100456621
tourism,3,1.36986301369863
website,15,6.84931506849315
climbing_bolted,36,16.4383561643836
climbing_multipitch,6,2.73972602739726
climbing_orientation,23,10.5022831050228
climbing_quality,22,10.0456621004566
climbing_sport,44,20.0913242009132
fee,4,1.82648401826484
outdoor,9,4.10958904109589
climbing_boulder,11,5.02283105022831
climbing,28,12.7853881278539
climbing_speed,1,0.45662100456621
climbing_toprope,7,3.19634703196347
operator,1,0.45662100456621
highway,2,0.91324200913242
sac_scale,2,0.91324200913242
climbing_grade_french_max,26,11.8721461187215
climbing_grade_french_min,26,11.8721461187215
climbing_length,27,12.3287671232877
climbing_crag,18,8.21917808219178
climbing_grade_french_mean,21,9.58904109589041
height,15,6.84931506849315
note,1,0.45662100456621
ref,2,0.91324200913242
climbing_trad,4,1.82648401826484
climbing_grade_uiaa_max,2,0.91324200913242
climbing_grade_uiaa_min,2,0.91324200913242
url,2,0.91324200913242
trailblazed,1,0.45662100456621
created_by,1,0.45662100456621
description,1,0.45662100456621
information,1,0.45662100456621
map_size,1,0.45662100456621
map_type,1,0.45662100456621
climbing_length_max,4,1.82648401826484
climbing_length_min,4,1.82648401826484
climbing_deepwater,1,0.45662100456621
climbing_ice,1,0.45662100456621
climbing_mixed,1,0.45662100456621
playground,1,0.45662100456621
name_en,1,0.45662100456621
alt_name,2,0.91324200913242
name_it,1,0.45662100456621
ele,2,0.91324200913242
access,9,4.10958904109589
indoor,3,1.36986301369863
office,1,0.45662100456621
ref_vatin,1,0.45662100456621
surface,2,0.91324200913242
source,2,0.91324200913242
name_de,1,0.45662100456621
noname,1,0.45662100456621
climbing_pitches,1,0.45662100456621
