Name,Count,Percentual
x_id,5916,100
amenity,5916,100
fee,1157,19.5571331981068
type,87,1.47058823529412
parking,4032,68.1541582150101
access,1971,33.316430020284
park_ride,113,1.91007437457742
surface,1685,28.4820824881677
capacity,666,11.2576064908722
name,329,5.56118999323868
barrier,2,0.0338066260987153
source,45,0.760649087221095
loc_name,1,0.0169033130493577
capacity_disabled,408,6.89655172413793
highway,30,0.50709939148073
operator,70,1.18323191345504
capacity_parent,24,0.405679513184584
capacity_women,25,0.422582826233942
lit,39,0.659229208924949
supervised,216,3.65111561866126
wheelchair,98,1.65652467883705
service,11,0.185936443542934
layer,43,0.72684246112238
landuse,3,0.050709939148073
area,13,0.21974306964165
indoor,5,0.0845165652467884
level,19,0.321162947937796
bicycle,6,0.101419878296146
foot,7,0.118323191345504
addr_city,76,1.28465179175118
addr_housenumber,9,0.152129817444219
addr_postcode,37,0.625422582826234
addr_street,41,0.693035835023665
opening_hours,19,0.321162947937796
opening_hours_1,1,0.0169033130493577
smoothness,17,0.28735632183908
maxstay,50,0.845165652467884
condition,3,0.050709939148073
alt_name,2,0.0338066260987153
parking_condition,2,0.0338066260987153
parking_condition_time_interval,3,0.050709939148073
motorcar,6,0.101419878296146
ref,4,0.0676132521974307
place,1,0.0169033130493577
building,16,0.270453008789723
contact_phone,1,0.0169033130493577
height,1,0.0169033130493577
tourism,8,0.135226504394861
hgv,10,0.169033130493577
maxheight,12,0.202839756592292
description,6,0.101419878296146
created_by,7,0.118323191345504
bus,2,0.0338066260987153
fixme,10,0.169033130493577
note,11,0.185936443542934
payment_cash,3,0.050709939148073
parking_condition_left,1,0.0169033130493577
website,5,0.0845165652467884
motorcycle,2,0.0338066260987153
psv,1,0.0169033130493577
addr_country,9,0.152129817444219
addr_province,6,0.101419878296146
maxweight,2,0.0338066260987153
charge,5,0.0845165652467884
surface_material,5,0.0845165652467884
time_interval,1,0.0169033130493577
caravan,1,0.0169033130493577
covered,10,0.169033130493577
leisure,2,0.0338066260987153
designation,3,0.050709939148073
addr_place,1,0.0169033130493577
natural,1,0.0169033130493577
ref_pat_cat,2,0.0338066260987153
ref_pat_id,2,0.0338066260987153
source_access,1,0.0169033130493577
maxwidth,1,0.0169033130493577
destination,1,0.0169033130493577
disused_aeroway,1,0.0169033130493577
name_ca,1,0.0169033130493577
addr_housename,3,0.050709939148073
fee_price,3,0.050709939148073
motor_vehicle,2,0.0338066260987153
addr_state,4,0.0676132521974307
addr_city_lld,1,0.0169033130493577
roof_material,2,0.0338066260987153
ele,7,0.118323191345504
name_de,2,0.0338066260987153
wpt_description,1,0.0169033130493577
roof_shape,3,0.050709939148073
building_levels_underground,3,0.050709939148073
max_level,2,0.0338066260987153
min_level,2,0.0338066260987153
access_fuel_lpg,1,0.0169033130493577
email,1,0.0169033130493577
phone,1,0.0169033130493577
capacity_buses,1,0.0169033130493577
capacity_bus,1,0.0169033130493577
sport,1,0.0169033130493577
FIXME,2,0.0338066260987153
repeat_on,2,0.0338066260987153
room,3,0.050709939148073
operator_type,8,0.135226504394861
toilets,2,0.0338066260987153
payment_coins,3,0.050709939148073
payment_contactless,1,0.0169033130493577
payment_credit_cards,2,0.0338066260987153
payment_debit_cards,1,0.0169033130493577
payment_maestro,1,0.0169033130493577
payment_mastercard,2,0.0338066260987153
payment_visa,2,0.0338066260987153
description_de,1,0.0169033130493577
disused,2,0.0338066260987153
power_supply,2,0.0338066260987153
sanitary_dump_station,1,0.0169033130493577
